,Category,sub_category,Sales,Quantity,Discount
0,Furniture,Bookcases,261.96,2,0.0
1,Furniture,Chairs,731.9399999999999,3,0.0
2,Office Supplies,Labels,14.62,2,0.0
3,Furniture,Tables,957.5775,5,0.45
4,Office Supplies,Storage,22.368000000000002,2,0.2
5,Furniture,Furnishings,48.86,7,0.0
6,Office Supplies,Art,7.28,4,0.0
7,Technology,Phones,907.152,6,0.2
8,Office Supplies,Binders,18.504,3,0.2
9,Office Supplies,Appliances,114.9,5,0.0
10,Furniture,Tables,1706.1840000000002,9,0.2
11,Technology,Phones,911.424,4,0.2
12,Office Supplies,Paper,15.552000000000003,3,0.2
13,Office Supplies,Binders,407.97600000000006,3,0.2
14,Office Supplies,Appliances,68.80999999999999,5,0.8
15,Office Supplies,Binders,2.5439999999999996,3,0.8
16,Office Supplies,Storage,665.88,6,0.0
17,Office Supplies,Storage,55.5,2,0.0
18,Office Supplies,Art,8.56,2,0.0
19,Technology,Phones,213.48000000000002,3,0.2
20,Office Supplies,Binders,22.72,4,0.2
21,Office Supplies,Art,19.459999999999997,7,0.0
22,Office Supplies,Appliances,60.339999999999996,7,0.0
23,Furniture,Chairs,71.37199999999999,2,0.3
24,Furniture,Tables,1044.6299999999999,3,0.0
25,Office Supplies,Binders,11.648000000000001,2,0.2
26,Technology,Accessories,90.57000000000001,3,0.0
27,Furniture,Bookcases,3083.4300000000003,7,0.5
28,Office Supplies,Binders,9.618000000000002,2,0.7
29,Furniture,Furnishings,124.20000000000002,3,0.2
30,Office Supplies,Envelopes,3.2640000000000002,2,0.2
31,Office Supplies,Art,86.304,6,0.2
32,Office Supplies,Binders,6.858000000000001,6,0.7
33,Office Supplies,Art,15.76,2,0.2
34,Office Supplies,Paper,29.472,3,0.2
35,Technology,Phones,1097.5440000000003,7,0.2
36,Furniture,Furnishings,190.92,5,0.6
37,Office Supplies,Envelopes,113.328,9,0.2
38,Furniture,Bookcases,532.3992,3,0.32
39,Furniture,Chairs,212.058,3,0.3
40,Technology,Phones,371.168,4,0.2
41,Technology,Phones,147.168,4,0.2
42,Office Supplies,Storage,77.88,2,0.0
43,Office Supplies,Storage,95.616,2,0.2
44,Technology,Accessories,45.98,2,0.0
45,Office Supplies,Binders,17.46,2,0.0
46,Office Supplies,Storage,211.96,4,0.0
47,Technology,Accessories,45.0,3,0.0
48,Technology,Phones,21.8,2,0.0
49,Office Supplies,Binders,38.22,6,0.0
50,Office Supplies,Labels,75.17999999999999,6,0.0
51,Furniture,Furnishings,6.16,2,0.0
52,Furniture,Chairs,89.99,1,0.0
53,Office Supplies,Fasteners,15.260000000000002,7,0.0
54,Technology,Phones,1029.95,5,0.0
55,Office Supplies,Storage,208.56,6,0.0
56,Office Supplies,Paper,32.400000000000006,5,0.0
57,Furniture,Chairs,319.41,5,0.1
58,Office Supplies,Paper,14.56,2,0.0
59,Technology,Accessories,30.0,2,0.0
60,Office Supplies,Binders,48.480000000000004,4,0.2
61,Office Supplies,Art,1.68,1,0.0
62,Technology,Accessories,13.98,2,0.0
63,Office Supplies,Binders,25.824,6,0.2
64,Office Supplies,Paper,146.73,3,0.0
65,Furniture,Furnishings,79.76,4,0.0
66,Furniture,Chairs,213.11499999999998,5,0.3
67,Office Supplies,Art,1113.0240000000001,8,0.2
68,Technology,Phones,167.96800000000002,4,0.2
69,Office Supplies,Paper,75.88,2,0.0
70,Office Supplies,Binders,4.616,1,0.2
71,Office Supplies,Paper,19.049999999999997,3,0.0
72,Furniture,Chairs,831.9360000000001,8,0.2
73,Furniture,Furnishings,97.04,2,0.2
74,Office Supplies,Storage,72.784,1,0.2
75,Office Supplies,Binders,1.2479999999999998,3,0.8
76,Furniture,Furnishings,9.708,3,0.6
77,Office Supplies,Storage,27.240000000000002,3,0.2
78,Furniture,Furnishings,19.3,5,0.6
79,Office Supplies,Appliances,208.16,1,0.0
80,Office Supplies,Binders,16.740000000000002,3,0.0
81,Office Supplies,Art,14.9,5,0.0
82,Office Supplies,Storage,21.39,1,0.0
83,Office Supplies,Envelopes,200.98400000000004,7,0.2
84,Office Supplies,Storage,230.376,3,0.2
85,Furniture,Chairs,301.96,2,0.0
86,Technology,Accessories,19.99,1,0.0
87,Office Supplies,Labels,6.16,2,0.0
88,Office Supplies,Storage,158.36800000000002,7,0.2
89,Office Supplies,Art,20.1,3,0.0
90,Technology,Phones,73.584,2,0.2
91,Office Supplies,Paper,6.48,1,0.0
92,Office Supplies,Paper,12.96,2,0.0
93,Furniture,Furnishings,53.34,3,0.0
94,Office Supplies,Binders,32.96,2,0.0
95,Office Supplies,Binders,5.682000000000001,1,0.7
96,Furniture,Furnishings,96.53,7,0.0
97,Office Supplies,Binders,51.312,3,0.2
98,Office Supplies,Appliances,77.88,6,0.0
99,Office Supplies,Paper,64.624,7,0.2
100,Technology,Accessories,95.97600000000001,3,0.2
